NAME,AIRCRAFT_MODEL, TAIL REGISTRATION,TOTAL MILES FLOWN, TOTAL FLIGHTS, TOTAL FUEL USED , TOTAL FLIGHT TIME , TOTAL CO2 POLLUTION 
"(CLICK TO ENLARGE)Alex Rodriguez, also known as ""A-Rod"", is a retired professional Major League Baseball player. He retired in 2016 and shortly thereafter foundedMonument Capital Management, a real estate investment firm. The firm has real estate holdings valued at over $700 million and it has invested in properties in New York City, Miami and Los Angeles. Rodriguez’s personal net worth is estimated to be between $350 and $400 million.Flight History for Alex RodriquezAlex Rodriquez",Gulfstream IV,N313AR,"221,635 milesGot a question about our how our Celebrity Private Jet Tracker works, see ourFlight Tracker FAQ(1)Flight Data provided byAirplanes.live,ADSB.fiandADSB Exchange, click theicon to see the flight on ADSB Exchange.(2)",203,"257,560 gallonsAircraft fuel consumption estimates are based on manufacturer data fromGulfstream,Bombardier,Dassault,Learjet,PrivateJetCardComparisons.comandICCT 2CO Emissions From Commercial Aviation(3)",23 days19 hours40 minutes,"3,461metric tonsAirplane carbon emission estimates are based on data fromParamount Carbon Offset CalculatorandICCT 2CO Emissions From Commercial Aviation(4)"
"(CLICK TO ENLARGE)Bill Gates is an American businessman, software developer, investor, author, and philanthropist. He is best known as the co-founder ofMicrosoft Corporation. He has said his use of private jets is ""ok"", because he invests billions into fighting climate change (Source:CBS News). He owns twoGulfstream G6 jetstail registrationN887WMandN194WM. Gates known as one of the richest people in the world, his estimated net worth is over $100 billion.Flight History for Bill GatesBill Gates (plane #1)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N887WM,"500,112 miles",319,"558,760 gallons",46 days10 hours26 minutes,"5,586metric tons"
"(CLICK TO ENLARGE)Bill Gates is an American businessman, software developer, investor, author, and philanthropist. He is best known as the co-founder ofMicrosoft Corporation. He has said his use of private jets is ""ok"", because he invests billions into fighting climate change (Source:CBS News). He owns twoGulfstream G6 jetstail registrationN887WMandN194WM. Gates known as one of the richest people in the world, his estimated net worth is over $100 billion.Flight History for Bill GatesBill Gates (plane #2)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N194WM,"371,316 miles",235,"416,040 gallons",34 days12 hours46 minutes,"4,152metric tons"
"(CLICK TO ENLARGE)Blake Shelton is an American country music singer and television personality. He has won several awards throughout his career, including sevenAcademy of Country Music Awardsand sixCountry Music Association Awardsand is also known for his role as a coach on the singing competition show,The Voice. Shelton’s estimated net worth is $100 million.Flight History for Blake SheltonBlake Shelton",Gulfstream IV,N958TB,"141,130 miles",136,"172,240 gallons",16 days2 hours11 minutes,"2,317metric tons"
"(CLICK TO ENLARGE)Caesars Palace Casino, located on the Las Vegas Strip, is known for its luxurious accommodations, high-end dining options, and expansive gaming floor featuring a variety of slot machines and table games. Caesars Palace Casino will often use it’s corporate jet to fly big players to it’s casino. Caesars Palace Casino has an estimated net worth of over $4 billion.Flight History for Caesars Palace CasinoCaesars Palace Casino",Gulfstream V,N898CE,"118,821 miles",145,"117,720 gallons",13 days4 hours23 minutes,"1,579metric tons"
"(CLICK TO ENLARGE)Dan Bilzerian is an American internet personality and professional poker player, famous for his lavish lifestyle and social media presence. He is known for his extravagant spending habits, which include luxury homes, private jets, and an extensive collection of firearms. Bilzerian has an estimated net worth of $200 million.Flight History for Dan BilzerianDan Bilzerian",Gulfstream IV,N701DB,"130,779 miles",93,"149,500 gallons",13 days22 hours5 minutes,"2,007metric tons"
"(CLICK TO ENLARGE)David Geffen is an American Entertainment Industry Leader. He is best known for foundingAsylum Records,Geffen Records, and was a co-founder ofDreamworks SKGwithSteven Spielbergand Jefferey Katzenberg. Geffen is one of the most successful and influential figures in the entertainment industry, and is estimated to have a net worth of over $10 billion.Flight History for David GeffenDavid Geffen","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N221DG,"154,240 miles",88,"172,700 gallons",14 days8 hours23 minutes,"1,721metric tons"
"(CLICK TO ENLARGE)Donald Trump is a real estate developer, entrepreneur an former US President, he is known for his controversial persona and outspoken nature. He gained fame with his reality TV show ""The Apprentice"". Trump’s net worth is estimated to be over $2 billion.Flight History for Donald TrumpDonald Trump",Boeing 757,N757AF,"367,541 miles",453,"5,640,600 gallons",40 days20 hours50 minutes,"32,344metric tons"
"(CLICK TO ENLARGE)Dr Phil (Phil McGraw) is an American TV personality best known for his nationally syndicated talk show ""Dr Phil"". While Dr Phil does have a Doctorate in Psychology, he is no longer licensed as a psychologist. He stopped renewing his license in 2006, and there are a lot rumors and unanswered questions as to why that happened (source:EverydayPsychology.com). Dr Phil’s estimated net worth is $460 million.Flight History for Dr. PhilDr. Phil",Gulfstream IV,N4DP,"158,582 miles",135,"179,720 gallons",16 days17 hours36 minutes,"2,424metric tons"
"(CLICK TO ENLARGE)Drake is a Canadian rapper, singer and record producer. He is most famous for his chart-topping hits that are a blend of hip hop, R&B, and pop. He has won numerous awards, including four Grammy Awards. Drake has an estimated net worth of $180 million.Flight History for DrakeDrake",Boeing 767,N767CJ,"77,026 miles",116,"1,029,900 gallons",8 days11 hours23 minutes,"3,437metric tons"
